ダウンロードした時刻：2023/05/31 13:21:40

,山形,山形,山形,山形,山形,山形,山形,山形,山形
年月日,最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2008/8/13,33.9,8,1,26.5,8,1,71,8,1
2008/8/14,29.1,8,1,25.3,8,1,80,8,1
2008/8/15,32.6,8,1,25.8,8,1,80,8,1
2008/8/16,25.7,8,1,23.4,8,1,90,8,1
2008/8/17,21.9,8,1,19.5,8,1,91,8,1
2008/8/18,28.9,8,1,22.2,8,1,73,8,1
2008/8/19,29.4,8,1,24.0,8,1,76,8,1
2008/8/20,30.8,8,1,24.7,8,1,67,8,1
2008/8/21,21.5,8,1,19.6,8,1,84,8,1
2008/8/22,21.3,8,1,18.2,8,1,73,8,1
2008/8/23,19.9,8,1,17.3,8,1,77,8,1
2008/8/24,19.3,8,1,17.9,8,1,94,8,1
2008/8/25,25.2,8,1,21.6,8,1,80,8,1
2008/8/26,23.7,8,1,20.9,8,1,75,8,1
2008/8/27,29.6,8,1,23.0,8,1,74,8,1
2008/8/28,33.1,8,1,24.9,8,1,80,8,1
2008/8/29,29.8,8,1,24.6,8,1,85,8,1
2008/8/30,26.2,8,1,23.3,8,1,89,8,1
2008/8/31,25.9,8,1,22.0,8,1,88,8,1
2008/9/1,30.3,8,1,24.3,8,1,77,8,1
2008/9/2,29.7,8,1,25.0,8,1,78,8,1
2008/9/3,31.9,8,1,25.5,8,1,79,8,1
2008/9/4,27.5,8,1,23.2,8,1,80,8,1
2008/9/5,29.7,8,1,24.8,8,1,76,8,1
2008/9/6,32.0,8,1,25.7,8,1,74,8,1
2008/9/7,27.2,8,1,23.6,8,1,86,8,1
2008/9/8,28.3,8,1,23.0,8,1,71,8,1
2008/9/9,26.9,8,1,20.9,8,1,63,8,1
2008/9/10,28.3,8,1,20.3,8,1,69,8,1
2008/9/11,27.2,8,1,21.1,8,1,70,8,1
2008/9/12,29.0,8,1,23.0,8,1,71,8,1
2008/9/13,23.9,8,1,21.2,8,1,83,8,1
2008/9/14,26.3,8,1,21.6,8,1,77,8,1
2008/9/15,25.5,8,1,20.5,8,1,78,8,1
2008/9/16,28.3,8,1,21.6,8,1,75,8,1
2008/9/17,28.3,8,1,22.0,8,1,69,8,1
2008/9/18,29.1,8,1,21.8,8,1,71,8,1
2008/9/19,30.1,8,1,23.8,8,1,72,8,1
2008/9/20,28.1,8,1,22.6,8,1,73,8,1
2008/9/21,22.2,8,1,19.4,8,1,86,8,1
2008/9/22,23.1,8,1,17.9,8,1,84,8,1
2008/9/23,24.5,8,1,19.7,8,1,76,8,1
2008/9/24,23.1,8,1,18.0,8,1,57,8,1
2008/9/25,16.9,8,1,14.8,8,1,82,8,1
2008/9/26,18.3,8,1,14.2,8,1,90,8,1
2008/9/27,16.3,8,1,12.1,8,1,75,8,1
2008/9/28,18.5,8,1,12.4,8,1,77,8,1
2008/9/29,18.9,8,1,12.6,8,1,77,8,1
2008/9/30,21.7,8,1,14.2,8,1,79,8,1
2009/5/1,24.4,8,1,15.1,8,1,41,8,1
2009/5/2,26.0,8,1,16.5,8,1,41,8,1
2009/5/3,23.3,8,1,16.5,8,1,53,8,1
2009/5/4,24.1,8,1,18.1,8,1,60,8,1
2009/5/5,24.7,8,1,18.2,8,1,60,8,1
2009/5/6,21.4,8,1,17.1,8,1,67,8,1
2009/5/7,21.4,8,1,16.9,8,1,68,8,1
2009/5/8,24.1,8,1,17.4,8,1,67,8,1
2009/5/9,28.6,8,1,18.9,8,1,58,8,1
2009/5/10,29.8,8,1,21.4,8,1,45,8,1
2009/5/11,23.8,8,1,18.8,8,1,65,8,1
2009/5/12,22.8,8,1,17.7,8,1,67,8,1
2009/5/13,17.9,8,1,14.8,8,1,49,8,1
2009/5/14,18.6,8,1,10.9,8,1,50,8,1
2009/5/15,16.6,8,1,10.7,8,1,62,8,1
2009/5/16,21.5,8,1,13.3,8,1,65,8,1
2009/5/17,18.2,8,1,14.5,8,1,91,8,1
2009/5/18,22.2,8,1,17.6,8,1,47,8,1
2009/5/19,27.1,8,1,18.8,8,1,50,8,1
2009/5/20,27.8,8,1,19.1,8,1,52,8,1
2009/5/21,30.8,8,1,21.2,8,1,47,8,1
2009/5/22,21.0,8,1,18.3,8,1,77,8,1
2009/5/23,19.8,8,1,17.6,8,1,65,8,1
2009/5/24,22.3,8,1,16.7,8,1,71,8,1
2009/5/25,21.2,8,1,15.8,8,1,76,8,1
2009/5/26,23.9,8,1,17.3,8,1,65,8,1
2009/5/27,27.9,8,1,18.7,8,1,67,8,1
2009/5/28,24.2,8,1,18.7,8,1,67,8,1
2009/5/29,21.3,8,1,16.7,8,1,73,8,1
2009/5/30,22.6,8,1,18.2,8,1,74,8,1
2009/5/31,21.0,8,1,16.6,8,1,85,8,1
2009/6/1,21.6,8,1,16.1,8,1,70,8,1
