ダウンロードした時刻：2023/05/31 13:52:40

,山口,山口,山口,山口,山口,山口,山口,山口,山口
年月日,最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2021/5/5,24.3,8,2,18.1,8,2,72,8,2
2021/5/6,25.5,8,2,17.3,8,2,59,8,2
2021/5/7,21.8,8,2,17.0,8,2,77,8,2
2021/5/8,22.4,8,2,18.2,8,2,82,8,2
2021/5/9,25.5,8,2,20.0,8,2,51,8,2
2021/5/10,26.5,8,2,18.3,8,2,55,8,2
2021/5/11,25.9,8,2,19.7,8,2,65,8,2
2021/5/12,21.8,8,2,18.2,8,2,81,8,2
2021/5/13,23.2,8,2,19.4,8,2,89,8,2
2021/5/14,27.2,8,2,21.8,8,2,81,8,2
2021/5/15,22.7,8,2,21.0,8,2,88,8,2
2021/5/16,24.3,8,2,22.2,8,2,94,8,2
2021/5/17,23.5,8,2,21.5,8,2,91,8,2
2021/5/18,22.0,8,2,19.4,8,2,87,8,2
2021/5/19,28.1,8,2,20.7,8,2,75,8,2
2021/5/20,22.3,8,2,19.6,8,2,97,8,2
2021/5/21,23.2,8,2,20.0,8,2,74,8,2
2021/5/22,24.6,8,2,18.8,8,2,77,8,2
2021/5/23,29.7,8,2,21.7,8,2,68,8,2
2021/5/24,19.8,8,2,18.1,8,2,91,8,2
2021/5/25,25.8,8,2,19.9,8,2,75,8,2
2021/5/26,23.1,8,2,17.8,8,2,77,8,2
2021/5/27,22.3,8,2,17.4,8,2,89,8,2
2021/5/28,24.5,8,2,19.9,8,2,77,8,2
2021/5/29,26.7,8,2,20.9,8,2,58,8,2
2021/5/30,29.0,8,2,21.0,8,2,60,8,2
2021/5/31,30.4,8,2,22.0,8,2,55,8,2
2021/6/1,31.2,8,2,23.3,8,2,57,8,2
2021/6/2,27.6,8,2,23.1,8,2,65,8,2
2021/6/3,22.7,8,2,20.1,8,2,86,8,2
2021/6/4,24.7,8,2,20.6,8,2,83,8,2
2021/6/5,24.2,8,2,19.3,8,2,73,8,2
2021/6/6,26.6,8,2,20.8,8,2,75,8,2
2021/6/7,30.6,8,2,23.0,8,2,72,8,2
2021/6/8,33.8,8,2,25.0,8,2,66,8,2
2021/6/9,33.5,8,2,25.8,8,2,58,8,2
2021/6/10,30.0,8,2,25.6,8,2,61,8,2
2021/6/11,26.0,8,2,24.0,8,2,73,8,2
2021/6/12,24.9,8,2,23.7,8,2,75,8,2
2021/6/13,26.4,8,2,23.7,8,2,79,8,2
2021/6/14,30.5,8,2,24.4,8,2,80,8,2
2021/6/15,27.0,8,2,23.2,8,2,83,8,2
2021/6/16,28.5,8,2,22.6,8,2,83,8,2
2021/6/17,29.1,8,2,24.2,8,2,74,8,2
2021/6/18,23.2,8,2,21.9,8,2,95,8,2
2021/6/19,30.2,8,2,24.0,8,2,77,8,2
2021/6/20,31.6,8,2,23.8,8,2,64,8,2
2021/6/21,33.0,8,2,24.2,8,2,65,8,2
2021/6/22,31.4,8,2,24.6,8,2,66,8,2
2021/6/23,30.9,8,2,24.1,8,2,69,8,2
2021/6/24,30.6,8,2,23.9,8,2,71,8,2
2021/6/25,31.0,8,2,24.8,8,2,73,8,2
2021/6/26,27.9,8,2,24.4,8,2,76,8,2
2021/6/27,29.8,8,2,24.4,8,2,77,8,2
2021/6/28,30.3,8,2,23.8,8,2,83,8,2
2021/6/29,30.8,8,2,25.2,8,2,75,8,2
2021/6/30,30.3,8,2,25.0,8,2,78,8,2
2021/7/1,32.6,8,2,25.7,8,2,82,8,2
2021/7/2,31.4,8,2,26.0,8,2,86,8,2
2021/7/3,29.6,8,2,25.3,8,2,87,8,2
2021/7/4,33.4,8,2,28.2,8,2,79,8,2
2021/7/5,33.2,8,2,28.2,8,2,79,8,2
2021/7/6,30.9,8,2,27.4,8,2,81,8,2
2021/7/7,33.8,8,2,28.1,8,2,81,8,2
2021/7/8,29.4,8,2,26.8,8,2,91,8,2
2021/7/9,26.4,8,2,24.7,8,2,97,8,2
2021/7/10,29.1,8,2,25.3,8,2,89,8,2
2021/7/11,32.9,8,2,26.9,8,2,80,8,2
2021/7/12,32.5,8,2,27.7,8,2,79,8,2
2021/7/13,35.1,8,2,28.8,8,2,75,8,2
2021/7/14,32.9,8,2,27.8,8,2,80,8,2
2021/7/15,34.0,8,2,27.3,8,2,76,8,2
2021/7/16,31.1,8,2,26.1,8,2,75,8,2
2021/7/17,28.6,8,2,25.4,8,2,79,8,2
2021/7/18,29.5,8,2,25.1,8,2,87,8,2
2021/7/19,32.1,8,2,26.5,8,2,82,8,2
2021/7/20,34.5,8,2,27.7,8,2,73,8,2
2021/7/21,34.4,8,2,27.5,8,2,72,8,2
2021/7/22,34.0,8,2,27.8,8,2,70,8,2
2021/7/23,34.6,8,2,28.0,8,2,70,8,2
2021/7/24,34.2,8,2,28.1,8,2,68,8,2
2021/7/25,33.1,8,2,27.9,8,2,70,8,2
2021/7/26,34.5,8,2,28.5,8,2,67,8,2
2021/7/27,36.7,8,2,29.1,8,2,67,8,2
2021/7/28,35.8,8,2,28.7,8,2,69,8,2
2021/7/29,36.1,8,2,28.7,8,2,71,8,2
2021/7/30,37.2,8,2,28.6,8,2,66,8,2
2021/7/31,36.4,8,2,27.7,8,2,76,8,2
2021/8/1,34.2,8,2,28.5,8,2,78,8,2
2021/8/2,33.9,8,2,28.2,8,2,79,8,2
2021/8/3,34.4,8,2,29.6,8,2,68,8,2
2021/8/4,35.7,8,2,29.9,8,2,69,8,2
2021/8/5,37.6,8,2,30.0,8,2,71,8,2
2021/8/6,37.9,8,2,30.4,8,2,69,8,2
2021/8/7,37.0,8,2,30.6,8,2,69,8,2
2021/8/8,33.5,8,2,28.4,8,2,81,8,2
2021/8/9,28.2,8,2,25.6,8,2,86,8,2
2021/8/10,34.0,8,2,26.7,8,2,81,8,2
2021/8/11,27.5,8,2,23.7,8,2,93,8,2
2021/8/12,25.0,8,2,23.8,8,2,98,8,2
2021/8/13,26.3,8,2,24.5,8,2,96,8,2
2021/8/14,25.3,8,2,22.6,8,2,99,8,2
2021/8/15,29.6,8,2,24.7,8,2,83,8,2
2021/8/16,26.7,8,2,23.5,8,2,93,8,2
2021/8/17,26.2,8,2,24.2,8,2,95,8,2
2021/8/18,26.5,8,2,24.1,8,2,90,8,2
2021/8/19,31.4,8,2,26.3,8,2,79,8,2
2021/8/20,27.4,8,2,24.6,8,2,88,8,2
2021/8/21,28.0,8,2,25.8,8,2,87,8,2
2021/8/22,26.8,8,2,24.8,8,2,98,8,2
2021/8/23,32.0,8,2,26.9,8,2,87,8,2
2021/8/24,29.2,8,2,26.5,8,2,90,8,2
2021/8/25,33.2,8,2,27.2,8,2,88,8,2
2021/8/26,31.0,8,2,27.2,8,2,86,8,2
2021/8/27,33.0,8,2,27.8,8,2,81,8,2
2021/8/28,34.1,8,2,27.4,8,2,76,8,2
2021/8/29,34.1,8,2,27.6,8,2,75,8,2
2021/8/30,34.6,8,2,27.4,8,2,79,8,2
2021/8/31,35.0,8,2,28.3,8,2,76,8,2
2021/9/1,33.5,8,2,27.8,8,2,75,8,2
2021/9/2,28.9,8,2,25.4,8,2,89,8,2
2021/9/3,25.4,8,2,23.2,8,2,95,8,2
2021/9/4,29.7,8,2,24.8,8,2,80,8,2
2021/9/5,28.8,8,2,24.3,8,2,75,8,2
2021/9/6,30.2,8,2,24.9,8,2,77,8,2
2021/9/7,28.9,8,2,25.0,8,2,79,8,2
2021/9/8,30.2,8,2,25.7,8,2,81,8,2
2021/9/9,31.6,8,2,25.4,8,2,74,8,2
2021/9/10,30.5,8,2,24.9,8,2,81,8,2
2021/9/11,29.6,8,2,25.1,8,2,80,8,2
2021/9/12,30.5,8,2,25.2,8,2,83,8,2
2021/9/13,28.0,8,2,24.2,8,2,90,8,2
2021/9/14,23.4,8,2,21.7,8,2,95,8,2
2021/9/15,26.3,8,2,22.9,8,2,89,8,2
2021/9/16,28.1,8,2,24.1,8,2,79,8,2
2021/9/17,30.5,8,2,25.3,8,2,83,8,2
2021/9/18,27.8,8,2,24.1,8,2,80,8,2
2021/9/19,29.2,8,2,23.6,8,2,77,8,2
2021/9/20,30.5,8,2,24.4,8,2,76,8,2
2021/9/21,29.5,8,2,25.5,8,2,73,8,2
2021/9/22,31.7,8,2,26.1,8,2,73,8,2
2021/9/23,30.2,8,2,23.5,8,2,73,8,2
2021/9/24,28.6,8,2,21.8,8,2,74,8,2
2021/9/25,29.6,8,2,23.0,8,2,75,8,2
2021/9/26,29.5,8,2,23.3,8,2,76,8,2
2021/9/27,30.4,8,2,24.0,8,2,77,8,2
2021/9/28,28.0,8,2,24.5,8,2,78,8,2
2021/9/29,30.3,8,2,25.4,8,2,74,8,2
2021/9/30,30.7,8,2,24.6,8,2,76,8,2
2022/5/1,19.5,8,2,14.4,8,2,66,8,2
2022/5/2,22.4,8,2,13.9,8,2,62,8,2
2022/5/3,21.8,8,2,14.3,8,2,64,8,2
2022/5/4,26.0,8,2,16.3,8,2,65,8,2
2022/5/5,26.0,8,2,19.3,8,2,68,8,2
2022/5/6,23.6,8,2,19.9,8,2,68,8,2
2022/5/7,29.0,8,2,21.5,8,2,68,8,2
2022/5/8,26.2,8,2,19.9,8,2,58,8,2
2022/5/9,26.4,8,2,19.1,8,2,58,8,2
2022/5/10,25.4,8,2,18.6,8,2,65,8,2
2022/5/11,23.5,8,2,19.9,8,2,85,8,2
2022/5/12,21.3,8,2,19.7,8,2,92,8,2
2022/5/13,21.1,8,2,19.3,8,2,98,8,2
2022/5/14,23.6,8,2,18.4,8,2,61,8,2
2022/5/15,22.1,8,2,16.3,8,2,69,8,2
2022/5/16,25.0,8,2,17.6,8,2,60,8,2
2022/5/17,27.9,8,2,18.6,8,2,58,8,2
2022/5/18,29.0,8,2,19.5,8,2,54,8,2
2022/5/19,27.9,8,2,19.1,8,2,58,8,2
2022/5/20,23.8,8,2,18.2,8,2,66,8,2
2022/5/21,26.0,8,2,19.8,8,2,65,8,2
2022/5/22,30.5,8,2,21.7,8,2,61,8,2
2022/5/23,29.7,8,2,22.3,8,2,62,8,2
2022/5/24,31.1,8,2,22.4,8,2,63,8,2
2022/5/25,29.4,8,2,24.0,8,2,67,8,2
2022/5/26,24.4,8,2,21.4,8,2,82,8,2
2022/5/27,29.9,8,2,22.5,8,2,59,8,2
2022/5/28,31.4,8,2,23.0,8,2,51,8,2
2022/5/29,33.2,8,2,23.1,8,2,44,8,2
2022/5/30,22.6,8,2,19.7,8,2,92,8,2
2022/5/31,26.5,8,2,21.6,8,2,71,8,2
2022/6/1,28.1,8,2,20.8,8,2,65,8,2
2022/6/2,30.6,8,2,22.6,8,2,68,8,2
2022/6/3,31.5,5,2,22.7,8,2,67,8,2
2022/6/4,31.3,8,2,23.1,8,2,61,8,2
2022/6/5,22.1,8,2,19.0,8,2,83,8,2
2022/6/6,24.3,8,2,19.8,8,2,83,8,2
2022/6/7,24.5,8,2,19.8,8,2,68,8,2
2022/6/8,27.1,8,2,20.3,8,2,67,8,2
2022/6/9,29.6,8,2,22.2,8,2,68,8,2
2022/6/10,28.1,8,2,23.3,8,2,75,8,2
2022/6/11,23.5,8,2,21.5,8,2,84,8,2
2022/6/12,30.2,8,2,22.8,8,2,72,8,2
2022/6/13,24.6,8,2,20.8,8,2,76,8,2
2022/6/14,20.9,8,2,19.0,8,2,95,8,2
2022/6/15,27.6,8,2,22.1,8,2,86,8,2
2022/6/16,31.0,8,2,23.5,8,2,78,8,2
2022/6/17,31.8,8,2,24.9,8,2,72,8,2
2022/6/18,31.6,8,2,26.3,8,2,74,8,2
2022/6/19,31.9,8,2,26.0,8,2,75,8,2
2022/6/20,30.0,8,2,25.6,8,2,78,8,2
2022/6/21,24.6,8,2,23.4,8,2,95,8,2
2022/6/22,29.9,8,2,25.6,8,2,86,8,2
2022/6/23,33.9,8,2,28.2,8,2,74,8,2
2022/6/24,31.5,8,2,28.0,8,2,75,8,2
2022/6/25,27.5,8,2,23.1,8,2,93,8,2
2022/6/26,32.2,8,2,25.7,8,2,81,8,2
2022/6/27,31.2,8,2,26.8,8,2,82,8,2
2022/6/28,32.4,8,2,27.7,8,2,80,8,2
2022/6/29,33.2,8,2,28.1,8,2,75,8,2
2022/6/30,35.3,8,2,28.8,8,2,74,8,2
2022/7/1,35.9,8,2,29.3,8,2,69,8,2
2022/7/2,34.4,8,2,28.3,8,2,70,8,2
2022/7/3,31.4,8,2,27.8,8,2,80,8,2
2022/7/4,29.1,8,2,26.7,8,2,82,8,2
2022/7/5,29.5,8,2,26.6,8,2,89,8,2
2022/7/6,33.0,8,2,27.6,8,2,82,8,2
2022/7/7,35.2,8,2,27.9,8,2,83,8,2
2022/7/8,33.0,8,2,27.7,8,2,85,8,2
2022/7/9,32.5,8,2,27.4,8,2,83,8,2
2022/7/10,32.9,8,2,27.7,8,2,77,8,2
2022/7/11,32.7,8,2,27.3,8,2,81,8,2
2022/7/12,31.3,8,2,27.0,8,2,77,8,2
2022/7/13,32.4,8,2,27.3,8,2,71,8,2
2022/7/14,29.6,8,2,26.4,8,2,87,8,2
2022/7/15,34.2,8,2,28.2,8,2,80,8,2
2022/7/16,30.8,8,2,25.4,8,2,88,8,2
2022/7/17,31.4,8,2,26.5,8,2,77,8,2
2022/7/18,28.7,8,2,25.3,8,2,86,8,2
2022/7/19,31.5,8,2,26.7,8,2,89,8,2
2022/7/20,34.2,8,2,27.9,8,2,73,8,2
2022/7/21,32.2,8,2,27.6,8,2,77,8,2
2022/7/22,30.9,8,2,26.5,8,2,74,8,2
2022/7/23,32.7,8,2,26.7,8,2,73,8,2
2022/7/24,31.1,8,2,26.3,8,2,79,8,2
2022/7/25,30.6,8,2,26.7,8,2,89,8,2
2022/7/26,35.0,8,2,28.8,8,2,78,8,2
2022/7/27,35.4,8,2,28.9,8,2,76,8,2
2022/7/28,34.6,8,2,29.8,8,2,72,8,2
2022/7/29,36.5,8,2,29.9,8,2,71,8,2
2022/7/30,33.6,8,2,29.2,8,2,72,8,2
2022/7/31,30.8,8,2,28.3,8,2,77,8,2
2022/8/1,33.2,8,2,29.5,8,2,75,8,2
2022/8/2,34.6,8,2,29.7,8,2,75,8,2
2022/8/3,36.3,8,2,30.6,8,2,71,8,2
2022/8/4,36.0,8,2,30.3,8,2,71,8,2
2022/8/5,34.0,8,2,28.4,8,2,83,8,2
2022/8/6,34.6,8,2,29.2,8,2,82,8,2
2022/8/7,35.9,8,2,29.8,8,2,77,8,2
2022/8/8,36.1,8,2,30.1,8,2,74,8,2
2022/8/9,35.9,8,2,29.8,8,2,74,8,2
2022/8/10,34.2,8,2,29.3,8,2,77,8,2
2022/8/11,35.6,8,2,29.8,8,2,76,8,2
2022/8/12,33.2,8,2,29.5,8,2,81,8,2
2022/8/13,34.4,8,2,29.4,8,2,80,8,2
2022/8/14,37.1,8,2,30.2,8,2,75,8,2
2022/8/15,36.3,8,2,28.9,8,2,83,8,2
2022/8/16,31.8,8,2,27.9,8,2,90,8,2
2022/8/17,27.8,8,2,25.6,8,2,95,8,2
2022/8/18,33.0,8,2,26.8,8,2,82,8,2
2022/8/19,33.1,8,2,27.1,8,2,82,8,2
2022/8/20,33.7,8,2,28.6,8,2,86,8,2
2022/8/21,32.8,8,2,28.0,8,2,86,8,2
2022/8/22,34.7,8,2,29.0,8,2,81,8,2
2022/8/23,35.4,8,2,29.8,8,2,74,8,2
2022/8/24,32.3,8,2,27.9,8,2,83,8,2
2022/8/25,31.2,8,2,27.0,8,2,77,8,2
2022/8/26,31.7,8,2,26.1,8,2,72,8,2
2022/8/27,32.4,8,2,25.8,8,2,69,8,2
2022/8/28,31.8,8,2,25.8,8,2,63,8,2
2022/8/29,32.5,8,2,25.7,8,2,73,8,2
2022/8/30,34.9,8,2,28.1,8,2,70,8,2
2022/8/31,34.0,8,2,29.0,8,2,76,8,2
2022/9/1,31.6,8,2,25.7,8,2,84,8,2
2022/9/2,25.1,8,2,23.1,8,2,95,8,2
2022/9/3,28.5,8,2,24.8,8,2,93,8,2
2022/9/4,32.4,8,2,27.4,8,2,80,8,2
2022/9/5,31.4,8,2,28.5,8,2,71,8,2
2022/9/6,30.6,8,2,26.4,8,2,81,8,2
2022/9/7,29.3,8,2,24.0,8,2,77,8,2
2022/9/8,30.2,8,2,24.7,8,2,73,8,2
2022/9/9,30.9,8,2,25.2,8,2,78,8,2
2022/9/10,32.5,8,2,26.4,8,2,78,8,2
2022/9/11,33.5,8,2,26.9,8,2,79,8,2
2022/9/12,34.5,8,2,27.8,8,2,76,8,2
2022/9/13,33.3,8,2,27.4,8,2,80,8,2
2022/9/14,35.2,8,2,28.7,8,2,76,8,2
2022/9/15,34.7,8,2,28.9,8,2,72,8,2
2022/9/16,32.4,8,2,27.5,8,2,75,8,2
2022/9/17,33.3,8,2,27.6,8,2,72,8,2
2022/9/18,30.7,8,2,27.2,8,2,79,8,2
2022/9/19,28.6,8,2,24.6,8,2,90,8,2
2022/9/20,24.5,8,2,20.0,8,2,64,8,2
2022/9/21,26.1,8,2,20.0,8,2,65,8,2
2022/9/22,28.8,8,2,22.4,8,2,73,8,2
2022/9/23,28.5,8,2,23.6,8,2,79,8,2
2022/9/24,28.4,8,2,22.7,8,2,68,8,2
2022/9/25,29.1,8,2,22.0,8,2,67,8,2
2022/9/26,25.8,8,2,22.5,8,2,90,8,2
2022/9/27,22.7,8,2,20.6,8,2,95,8,2
2022/9/28,27.1,8,2,21.7,8,2,83,8,2
2022/9/29,27.1,8,2,22.2,8,2,83,8,2
2022/9/30,30.5,8,2,22.3,8,2,75,8,2
